
Algoritmo 1
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[24])
Algoritmo 2
Dados(TempoDeExecSimula=126, temposDeAlocacao=[93])
Dados(TempoDeExecSimula=72,  temposDeAlocacao=[52])
Dados(TempoDeExecSimula=92,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=76,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=124, temposDeAlocacao=[56])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=84,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=76,  temposDeAlocacao=[48])
Dados(TempoDeExecSimula=82,  temposDeAlocacao=[52])
Dados(TempoDeExecSimula=76,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=88,  temposDeAlocacao=[44])
Dados(TempoDeExecSimula=88,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=72,  temposDeAlocacao=[44])
Dados(TempoDeExecSimula=116, temposDeAlocacao=[56])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=100, temposDeAlocacao=[48])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[44])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  tmposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  tmposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[32])
