Algoritmo 1
Makespan=21, Balanceamento= 16  
Makespan=22, Balanceamento= 15  
Makespan=19, Balanceamento= 13  
Makespan=22, Balanceamento= 17  
Makespan=13, Balanceamento= 8  
Makespan=15, Balanceamento= 10  
Makespan=23, Balanceamento= 18  
Makespan=26, Balanceamento= 19  
Makespan=19, Balanceamento= 14  
Makespan=26, Balanceamento= 19  
Makespan=16, Balanceamento= 11  
Makespan=21, Balanceamento= 15  
Makespan=15, Balanceamento= 8  
Makespan=14, Balanceamento= 8  
Makespan=18, Balanceamento= 12  
Makespan=21, Balanceamento= 16  
Makespan=22, Balanceamento= 15  
Makespan=23, Balanceamento= 18  
Makespan=28, Balanceamento= 21  
Makespan=21, Balanceamento= 16  
Makespan=24, Balanceamento= 19  
Makespan=22, Balanceamento= 16  
Makespan=16, Balanceamento= 10  
Makespan=19, Balanceamento= 13  
Makespan=27, Balanceamento= 22  
Makespan=21, Balanceamento= 16  
Makespan=18, Balanceamento= 13  
Makespan=22, Balanceamento= 16  
Makespan=27, Balanceamento= 21  
Makespan=17, Balanceamento= 11  
Makespan=16, Balanceamento= 11  
Makespan=17, Balanceamento= 12  
Makespan=21, Balanceamento= 16  
Makespan=25, Balanceamento= 21  
Makespan=17, Balanceamento= 13  
Makespan=21, Balanceamento= 16  
Makespan=25, Balanceamento= 19  
Makespan=18, Balanceamento= 13  
Makespan=17, Balanceamento= 9  
Makespan=24, Balanceamento= 17  
Makespan=19, Balanceamento= 14  
Makespan=26, Balanceamento= 18  
Makespan=20, Balanceamento= 12  
Makespan=27, Balanceamento= 21  
Makespan=15, Balanceamento= 8  
Makespan=25, Balanceamento= 18  
Makespan=20, Balanceamento= 16  
Makespan=23, Balanceamento= 18  
Makespan=12, Balanceamento= 8  
Makespan=24, Balanceamento= 19  
Makespan=21, Balanceamento= 17  
Makespan=16, Balanceamento= 11  
Makespan=25, Balanceamento= 19  
Makespan=13, Balanceamento= 8  
Makespan=17, Balanceamento= 12  
Makespan=13, Balanceamento= 8  
Makespan=19, Balanceamento= 14  
Makespan=22, Balanceamento= 16  
Makespan=18,  Balanceamento= 12  
Makespan=20, Balanceamento= 15  
Makespan=17, Balanceamento= 12  
Makespan=21, Balanceamento= 17  
Makespan=13, Balanceamento= 8  
Makespan=21, Balanceamento= 16  
Makespan=19, Balanceamento= 15  
Makespan=16, Balanceamento= 10  
Makespan=13, Balanceamento= 8  
Makespan=17, Balanceamento= 12  
Makespan=18, Balanceamento= 13  
Makespan=26, Balanceamento= 19  
Makespan=12, Balanceamento= 8  
Makespan=13, Balanceamento= 8  
Makespan=16, Balanceamento= 11  
Makespan=21, Balanceamento= 15  
Makespan=14, Balanceamento= 9  
Makespan=23, Balanceamento= 18  
Makespan=17, Balanceamento= 13  
Makespan=13, Balanceamento= 9  
Makespan=20, Balanceamento= 13  
Makespan=24, Balanceamento= 19  
Makespan=14, Balanceamento= 7  
Makespan=22, Balanceamento= 16  
Makespan=13, Balanceamento= 9  
Makespan=21, Balanceamento= 16  
Makespan=20, Balanceamento= 16  
Makespan=18, Balanceamento= 12  
Makespan=17, Balanceamento= 13  
Makespan=21, Balanceamento= 16  
Makespan=20, Balanceamento= 14  
Makespan=19, Balanceamento= 13  
Makespan=17, Balanceamento= 9  
Makespan=25, Balanceamento= 19  
Makespan=17, Balanceamento= 13  
Makespan=22, Balanceamento= 16  
Makespan=20, Balanceamento= 15  
Makespan=23, Balanceamento= 17  
Makespan=19, Balanceamento= 13  
Makespan=12, Balanceamento= 7  
Makespan=21, Balanceamento= 16  
Makespan=14, Balanceamento= 9  
Makespan=23, Balanceamento= 18  
Makespan=18, Balanceamento= 12  
Makespan=15, Balanceamento= 10  
Makespan=27, Balanceamento= 22  
Makespan=19, Balanceamento= 13  
Makespan=22, Balanceamento= 16  
Makespan=18, Balanceamento= 13  
Makespan=25, Balanceamento= 19  
Makespan=16, Balanceamento= 9  
Makespan=15, Balanceamento= 10  
Makespan=25, Balanceamento= 19  
Makespan=21, Balanceamento= 14  
Makespan=23, Balanceamento= 15  
Makespan=17, Balanceamento= 12  
Makespan=19, Balanceamento= 12  
Makespan=21, Balanceamento= 14  
Makespan=26, Balanceamento= 19  
Makespan=17, Balanceamento= 12  
Makespan=28, Balanceamento= 20  
Makespan=20, Balanceamento= 14  
Makespan=27, Balanceamento= 20  
Makespan=23, Balanceamento= 16  
Makespan=31, Balanceamento= 23  
Makespan=25, Balanceamento= 19  
Makespan=19, Balanceamento= 14  
Makespan=24, Balanceamento= 19  
Makespan=25, Balanceamento= 20  
Makespan=14, Balanceamento= 10  
Makespan=16, Balanceamento= 12  
Makespan=16, Balanceamento= 12  
Makespan=24, Balanceamento= 19  
Makespan=17, Balanceamento= 10  
Makespan=16, Balanceamento= 10  
Makespan=15, Balanceamento= 11  
Makespan=26, Balanceamento= 22  
Makespan=26, Balanceamento= 20  
Makespan=26, Balanceamento= 21  
Makespan=17, Balanceamento= 11  
Makespan=16, Balanceamento= 11  
Makespan=17, Balanceamento= 10  
Makespan=24, Balanceamento= 19  
Makespan=25, Balanceamento= 19  
Makespan=23, Balanceamento= 18  
Makespan=26, Balanceamento= 19  
Makespan=17, Balanceamento= 10  
